t,goodput,throttled,offered,type,name
61.129668, 200, 118, 318, server, server
61.129668, 150, 0, 150, client, client_0_150.00
61.129668, 0, 143, 8, client, client_1_150.00
61.129668, 50, 0, 150, client, client_2_150.00
61.129668, 0, 0, 10, client, client_3_10.00
62.130765, 132, 34, 166, server, server
62.130765, 63, 87, 63, client, client_0_150.00
62.130765, 23, 124, 26, client, client_1_150.00
62.130765, 39, 84, 67, client, client_2_150.00
62.130765, 7, 0, 10, client, client_3_10.00
63.134282, 223, 9, 232, server, server
63.134282, 70, 76, 75, client, client_0_150.00
63.134282, 74, 76, 74, client, client_1_150.00
63.134282, 70, 77, 73, client, client_2_150.00
63.134282, 9, 0, 10, client, client_3_10.00
64.136334, 237, 9, 246, server, server
64.136334, 74, 72, 78, client, client_0_150.00
64.136334, 78, 73, 78, client, client_1_150.00
64.136334, 76, 70, 80, client, client_2_150.00
64.136334, 9, 0, 10, client, client_3_10.00
65.137431, 209, 37, 246, server, server
65.137431, 75, 71, 79, client, client_0_150.00
65.137431, 66, 72, 78, client, client_1_150.00
65.137431, 59, 72, 79, client, client_2_150.00
65.137431, 9, 0, 10, client, client_3_10.00
66.140948, 200, 108, 308, server, server
66.140948, 124, 27, 124, client, client_0_150.00
66.140948, 71, 0, 150, client, client_1_150.00
66.140948, 5, 124, 26, client, client_2_150.00
66.140948, 0, 2, 8, client, client_3_10.00
67.143000, 199, 11, 210, server, server
67.143000, 35, 105, 45, client, client_0_150.00
67.143000, 112, 39, 112, client, client_1_150.00
67.143000, 48, 101, 49, client, client_2_150.00
67.143000, 4, 6, 4, client, client_3_10.00
68.144097, 201, 10, 211, server, server
68.144097, 66, 82, 68, client, client_0_150.00
68.144097, 70, 80, 70, client, client_1_150.00
68.144097, 63, 80, 71, client, client_2_150.00
68.144097, 2, 8, 2, client, client_3_10.00
69.147615, 195, 8, 203, server, server
69.147615, 63, 86, 65, client, client_0_150.00
69.147615, 67, 83, 67, client, client_1_150.00
69.147615, 63, 81, 69, client, client_2_150.00
69.147615, 2, 8, 2, client, client_3_10.00
70.149667, 208, 36, 244, server, server
70.149667, 74, 74, 76, client, client_0_150.00
70.149667, 71, 69, 82, client, client_1_150.00
70.149667, 60, 69, 81, client, client_2_150.00
70.149667, 3, 5, 5, client, client_3_10.00
71.150764, 200, 261, 461, server, server
71.150764, 150, 0, 150, client, client_0_150.00
71.150764, 50, 0, 150, client, client_1_150.00
71.150764, 0, 0, 151, client, client_2_150.00
71.150764, 0, 0, 10, client, client_3_10.00
72.154281, 96, 52, 148, server, server
72.154281, 52, 99, 52, client, client_0_150.00
72.154281, 29, 96, 54, client, client_1_150.00
72.154281, 15, 109, 41, client, client_2_150.00
72.154281, 0, 9, 1, client, client_3_10.00
73.156333, 274, 11, 285, server, server
73.156333, 94, 50, 100, client, client_0_150.00
73.156333, 91, 60, 91, client, client_1_150.00
73.156333, 85, 61, 89, client, client_2_150.00
73.156333, 4, 5, 5, client, client_3_10.00
74.157430, 227, 8, 235, server, server
74.157430, 74, 72, 78, client, client_0_150.00
74.157430, 78, 71, 79, client, client_1_150.00
74.157430, 73, 75, 76, client, client_2_150.00
74.157430, 2, 8, 2, client, client_3_10.00
75.160947, 205, 36, 241, server, server
75.160947, 78, 71, 80, client, client_0_150.00
75.160947, 68, 70, 80, client, client_1_150.00
75.160947, 59, 69, 81, client, client_2_150.00
75.160947, 0, 10, 0, client, client_3_10.00
76.162999, 201, 255, 456, server, server
76.162999, 150, 0, 150, client, client_0_150.00
76.162999, 51, 0, 151, client, client_1_150.00
76.162999, 0, 0, 150, client, client_2_150.00
76.162999, 0, 5, 5, client, client_3_10.00
77.164097, 152, 61, 213, server, server
77.164097, 68, 82, 68, client, client_0_150.00
77.164097, 44, 82, 68, client, client_1_150.00
77.164097, 32, 83, 68, client, client_2_150.00
77.164097, 8, 1, 9, client, client_3_10.00
78.167614, 247, 10, 257, server, server
78.167614, 76, 69, 82, client, client_0_150.00
78.167614, 83, 67, 83, client, client_1_150.00
78.167614, 78, 68, 82, client, client_2_150.00
78.167614, 10, 0, 10, client, client_3_10.00
79.169666, 200, 9, 209, server, server
79.169666, 62, 84, 66, client, client_0_150.00
79.169666, 67, 84, 67, client, client_1_150.00
79.169666, 62, 84, 66, client, client_2_150.00
79.169666, 9, 0, 10, client, client_3_10.00
80.170763, 202, 43, 245, server, server
80.170763, 56, 72, 78, client, client_0_150.00
80.170763, 77, 72, 78, client, client_1_150.00
80.170763, 63, 72, 79, client, client_2_150.00
80.170763, 6, 0, 10, client, client_3_10.00
81.174280, 200, 261, 461, server, server
81.174280, 0, 0, 151, client, client_0_150.00
81.174280, 150, 0, 150, client, client_1_150.00
81.174280, 50, 0, 150, client, client_2_150.00
81.174280, 0, 0, 10, client, client_3_10.00
82.176332, 136, 60, 196, server, server
82.176332, 26, 89, 61, client, client_0_150.00
82.176332, 62, 89, 62, client, client_1_150.00
82.176332, 40, 87, 63, client, client_2_150.00
82.176332, 8, 0, 10, client, client_3_10.00
83.177429, 244, 9, 253, server, server
83.177429, 75, 70, 80, client, client_0_150.00
83.177429, 80, 70, 80, client, client_1_150.00
83.177429, 80, 68, 83, client, client_2_150.00
83.177429, 9, 0, 10, client, client_3_10.00
84.180946, 216, 11, 227, server, server
84.180946, 69, 78, 73, client, client_0_150.00
84.180946, 72, 77, 73, client, client_1_150.00
84.180946, 66, 79, 71, client, client_2_150.00
84.180946, 9, 0, 10, client, client_3_10.00
85.182999, 207, 22, 229, server, server
85.182999, 55, 90, 60, client, client_0_150.00
85.182999, 80, 71, 80, client, client_1_150.00
85.182999, 64, 71, 79, client, client_2_150.00
85.182999, 8, 0, 10, client, client_3_10.00
86.184096, 200, 118, 318, server, server
86.184096, 0, 143, 7, client, client_0_150.00
86.184096, 150, 0, 150, client, client_1_150.00
86.184096, 50, 0, 151, client, client_2_150.00
86.184096, 0, 0, 10, client, client_3_10.00
87.187613, 175, 38, 213, server, server
87.187613, 21, 127, 24, client, client_0_150.00
87.187613, 58, 92, 58, client, client_1_150.00
87.187613, 91, 29, 121, client, client_2_150.00
87.187613, 5, 0, 10, client, client_3_10.00
88.189665, 225, 8, 233, server, server
88.189665, 73, 76, 74, client, client_0_150.00
88.189665, 74, 76, 75, client, client_1_150.00
88.189665, 68, 76, 74, client, client_2_150.00
88.189665, 10, 0, 10, client, client_3_10.00
89.190762, 192, 8, 200, server, server
89.190762, 62, 88, 62, client, client_0_150.00
89.190762, 62, 87, 63, client, client_1_150.00
89.190762, 60, 86, 65, client, client_2_150.00
89.190762, 8, 0, 10, client, client_3_10.00
90.194279, 210, 24, 234, server, server
90.194279, 80, 69, 82, client, client_0_150.00
90.194279, 58, 90, 60, client, client_1_150.00
90.194279, 63, 68, 82, client, client_2_150.00
90.194279, 9, 0, 10, client, client_3_10.00
91.196331, 200, 118, 318, server, server
91.196331, 150, 0, 150, client, client_0_150.00
91.196331, 0, 143, 8, client, client_1_150.00
91.196331, 50, 0, 150, client, client_2_150.00
91.196331, 0, 0, 10, client, client_3_10.00
92.197428, 153, 26, 179, server, server
92.197428, 68, 82, 68, client, client_0_150.00
92.197428, 34, 115, 35, client, client_1_150.00
92.197428, 44, 85, 66, client, client_2_150.00
92.197428, 7, 0, 10, client, client_3_10.00
93.200945, 241, 11, 252, server, server
93.200945, 80, 71, 80, client, client_0_150.00
93.200945, 77, 69, 81, client, client_1_150.00
93.200945, 76, 69, 81, client, client_2_150.00
93.200945, 8, 0, 10, client, client_3_10.00
94.202998, 204, 8, 212, server, server
94.202998, 64, 83, 67, client, client_0_150.00
