t,goodput,throttled,offered,type,name
57.121772, 93, 57, 93, client, client_1_150.00
57.121772, 45, 103, 48, client, client_2_150.00
57.121772, 10, 0, 10, client, client_3_10.00
58.123507, 195, 5, 200, server, server
58.123507, 61, 86, 65, client, client_0_150.00
58.123507, 89, 61, 89, client, client_1_150.00
58.123507, 35, 114, 36, client, client_2_150.00
58.123507, 10, 0, 10, client, client_3_10.00
59.127920, 204, 4, 208, server, server
59.127920, 63, 83, 67, client, client_0_150.00
59.127920, 89, 62, 89, client, client_1_150.00
59.127920, 42, 108, 42, client, client_2_150.00
59.127920, 10, 0, 10, client, client_3_10.00
60.128439, 191, 4, 195, server, server
60.128439, 60, 90, 60, client, client_0_150.00
60.128439, 84, 65, 85, client, client_1_150.00
60.128439, 37, 111, 40, client, client_2_150.00
60.128439, 10, 0, 10, client, client_3_10.00
61.130173, 189, 11, 200, server, server
61.130173, 23, 124, 27, client, client_0_150.00
61.130173, 130, 20, 130, client, client_1_150.00
61.130173, 34, 109, 41, client, client_2_150.00
61.130173, 2, 8, 2, client, client_3_10.00
62.134586, 218, 5, 223, server, server
62.134586, 44, 104, 46, client, client_0_150.00
62.134586, 109, 41, 110, client, client_1_150.00
62.134586, 63, 85, 65, client, client_2_150.00
62.134586, 2, 8, 2, client, client_3_10.00
63.135105, 198, 6, 204, server, server
63.135105, 24, 124, 26, client, client_0_150.00
63.135105, 106, 44, 106, client, client_1_150.00
63.135105, 64, 83, 68, client, client_2_150.00
63.135105, 4, 6, 4, client, client_3_10.00
64.136840, 208, 5, 213, server, server
64.136840, 22, 129, 22, client, client_0_150.00
64.136840, 122, 28, 122, client, client_1_150.00
64.136840, 55, 91, 59, client, client_2_150.00
64.136840, 9, 0, 10, client, client_3_10.00
65.141253, 182, 4, 186, server, server
65.141253, 12, 138, 12, client, client_0_150.00
65.141253, 112, 39, 112, client, client_1_150.00
65.141253, 49, 98, 52, client, client_2_150.00
65.141253, 9, 0, 10, client, client_3_10.00
66.141772, 215, 5, 220, server, server
66.141772, 28, 122, 28, client, client_0_150.00
66.141772, 126, 23, 127, client, client_1_150.00
66.141772, 52, 96, 55, client, client_2_150.00
66.141772, 9, 0, 10, client, client_3_10.00
67.143506, 204, 5, 209, server, server
67.143506, 26, 123, 28, client, client_0_150.00
67.143506, 119, 31, 119, client, client_1_150.00
67.143506, 49, 98, 52, client, client_2_150.00
67.143506, 10, 0, 10, client, client_3_10.00
68.147919, 191, 6, 197, server, server
68.147919, 21, 128, 22, client, client_0_150.00
68.147919, 117, 34, 117, client, client_1_150.00
68.147919, 44, 102, 48, client, client_2_150.00
68.147919, 9, 0, 10, client, client_3_10.00
69.148438, 209, 5, 214, server, server
69.148438, 14, 135, 15, client, client_0_150.00
69.148438, 125, 24, 126, client, client_1_150.00
69.148438, 60, 88, 63, client, client_2_150.00
69.148438, 10, 0, 10, client, client_3_10.00
70.150172, 188, 4, 192, server, server
70.150172, 18, 133, 18, client, client_0_150.00
70.150172, 118, 32, 118, client, client_1_150.00
70.150172, 44, 104, 46, client, client_2_150.00
70.150172, 8, 0, 10, client, client_3_10.00
71.154586, 213, 6, 219, server, server
71.154586, 18, 131, 19, client, client_0_150.00
71.154586, 125, 26, 125, client, client_1_150.00
71.154586, 60, 85, 65, client, client_2_150.00
71.154586, 10, 0, 10, client, client_3_10.00
72.155104, 179, 5, 184, server, server
72.155104, 13, 134, 16, client, client_0_150.00
72.155104, 108, 42, 108, client, client_1_150.00
72.155104, 49, 101, 50, client, client_2_150.00
72.155104, 9, 0, 10, client, client_3_10.00
73.156839, 219, 4, 223, server, server
73.156839, 27, 124, 27, client, client_0_150.00
73.156839, 126, 23, 127, client, client_1_150.00
73.156839, 56, 91, 59, client, client_2_150.00
73.156839, 10, 0, 10, client, client_3_10.00
74.161252, 194, 5, 199, server, server
74.161252, 16, 133, 17, client, client_0_150.00
74.161252, 119, 32, 119, client, client_1_150.00
74.161252, 49, 97, 53, client, client_2_150.00
74.161252, 10, 0, 10, client, client_3_10.00
75.161771, 206, 4, 210, server, server
75.161771, 23, 127, 23, client, client_0_150.00
75.161771, 120, 30, 120, client, client_1_150.00
75.161771, 53, 94, 57, client, client_2_150.00
75.161771, 10, 0, 10, client, client_3_10.00
76.163505, 205, 5, 210, server, server
76.163505, 17, 132, 19, client, client_0_150.00
76.163505, 123, 27, 123, client, client_1_150.00
76.163505, 55, 92, 58, client, client_2_150.00
76.163505, 10, 0, 10, client, client_3_10.00
77.167918, 196, 5, 201, server, server
77.167918, 16, 133, 17, client, client_0_150.00
77.167918, 121, 30, 121, client, client_1_150.00
77.167918, 50, 97, 53, client, client_2_150.00
77.167918, 9, 0, 10, client, client_3_10.00
78.168437, 204, 6, 210, server, server
78.168437, 9, 139, 11, client, client_0_150.00
78.168437, 127, 23, 127, client, client_1_150.00
78.168437, 58, 89, 62, client, client_2_150.00
78.168437, 10, 0, 10, client, client_3_10.00
79.170171, 176, 3, 179, server, server
79.170171, 4, 146, 5, client, client_0_150.00
79.170171, 105, 45, 105, client, client_1_150.00
79.170171, 57, 91, 59, client, client_2_150.00
79.170171, 10, 0, 10, client, client_3_10.00
80.174585, 218, 6, 224, server, server
80.174585, 17, 130, 20, client, client_0_150.00
80.174585, 131, 20, 131, client, client_1_150.00
80.174585, 60, 87, 63, client, client_2_150.00
80.174585, 10, 0, 10, client, client_3_10.00
81.175103, 184, 6, 190, server, server
81.175103, 12, 135, 15, client, client_0_150.00
81.175103, 113, 37, 113, client, client_1_150.00
81.175103, 49, 99, 52, client, client_2_150.00
81.175103, 10, 0, 10, client, client_3_10.00
